Exposure,Exposure.Domain,Outcome.Name,Association,Outcome.Domain.Level.2,Outcome.Domain.Level.1,Biospecimen,Dataset_id,Datasets.Type,Dataset.Source,Linked.Dataset.ID,Linked.Dataset.Name
daily maximum temperature,Weather,ED visits for all internal causes,Positive,Heat-related Illness;Renal Disease;Cardiorespiratory Disease;Intestinal Infection;Asthma;Diabetes,Health Outcome,,26922412,Literature,PubMed,,
daily maximum temperature,Weather,ED visits for diabetes,Positive,Heat-related Illness;Renal Disease;Cardiorespiratory Disease;Intestinal Infection;Asthma;Diabetes,Health Outcome,,26922412,Literature,PubMed,,
daily maximum temperature,Weather,ED visits for fluid/electrolyte imbalances,Positive,Heat-related Illness;Renal Disease;Cardiorespiratory Disease;Intestinal Infection;Asthma;Diabetes,Health Outcome,,26922412,Literature,PubMed,,
daily maximum temperature,Weather,ED visits for renal disease,Positive,Heat-related Illness;Renal Disease;Cardiorespiratory Disease;Intestinal Infection;Asthma;Diabetes,Health Outcome,,26922412,Literature,PubMed,,
daily maximum temperature,Weather,ED visits for asthma/wheeze,Positive,Heat-related Illness;Renal Disease;Cardiorespiratory Disease;Intestinal Infection;Asthma;Diabetes,Health Outcome,,26922412,Literature,PubMed,,
daily maximum temperature,Weather,ED visits for intestinal infections,Positive,Heat-related Illness;Renal Disease;Cardiorespiratory Disease;Intestinal Infection;Asthma;Diabetes,Health Outcome,,26922412,Literature,PubMed,,
temperature,Other,initial Pseudomonas aeruginosa acquisition,Positive,Cystic Fibrosis;Respiratory Health,Health Outcome,,26449886,Literature,PubMed,,
dew point,Other,initial Pseudomonas aeruginosa acquisition,Positive,Cystic Fibrosis;Respiratory Health,Health Outcome,,26449886,Literature,PubMed,,
"upper atmosphere temperature, dew point, mixing ratio, and six air pollutants",Other,asthma exacerbations,Positive,Respiratory Health,Health Outcome,,23406925,Literature,PubMed,,
dew point,Weather,admission rates,Negative,Respiratory Health,Health Outcome,,23091965,Literature,PubMed,,
Winter temperature inversions,Weather,Emergency department visits for asthma,Positive,Respiratory Health,Health Outcome,,22784691,Literature,PubMed,,
Winter temperature inversions,Weather,Emergency department visits for asthma,Positive,Respiratory Health,Health Outcome,,22784691,Literature,PubMed,,
Upper-air temperature,Weather,asthma exacerbations,Positive,Asthma,Health Outcome,,22574718,Literature,PubMed,,
Upper-air relative humidity,Weather,asthma exacerbations,Positive,Asthma,Health Outcome,,22574718,Literature,PubMed,,
Upper-air dew point,Weather,asthma exacerbations,Positive,Asthma,Health Outcome,,22574718,Literature,PubMed,,
O3,Air Quality,hospital admissions for asthma,Positive,Respiratory Health;Cardiovascular Health,Health Outcome,,21609456,Literature,PubMed,,
O3,Air Quality,hospital admissions for myocardial infarction (MI),Positive,Respiratory Health;Cardiovascular Health,Health Outcome,,21609456,Literature,PubMed,,
heat waves,Weather,Excess mortality,Positive,Mortality,Health Outcome,,21193384,Literature,PubMed,,
ambient temperature,Weather,HDL,Negative,Cardiovascular Health,Health Outcome,Serum,21172696,Literature,PubMed,,
ambient temperature,Weather,HDL,Negative,Cardiovascular Health,Health Outcome,Serum,21172696,Literature,PubMed,,
ambient temperature,Weather,LDL,Positive,Cardiovascular Health,Health Outcome,Serum,21172696,Literature,PubMed,,
ambient temperature,Weather,LDL,Positive,Cardiovascular Health,Health Outcome,Serum,21172696,Literature,PubMed,,
apparent temperature,Weather,HDL,Negative,Cardiovascular Health,Health Outcome,Serum,21172696,Literature,PubMed,,
apparent temperature,Weather,LDL,Positive,Cardiovascular Health,Health Outcome,Serum,21172696,Literature,PubMed,,
dew point temperature,Weather,HDL,Negative,Cardiovascular Health,Health Outcome,Serum,21172696,Literature,PubMed,,
dew point temperature,Weather,LDL,Positive,Cardiovascular Health,Health Outcome,Serum,21172696,Literature,PubMed,,
ambient temperature,Weather,total cholesterol,Null,Cardiovascular Health,Health Outcome,Serum,21172696,Literature,PubMed,,
ambient temperature,Weather,triglycerides,Null,Cardiovascular Health,Health Outcome,Serum,21172696,Literature,PubMed,,
ambient temperature,Weather,diastolic blood pressure (DBP),Negative,Cardiovascular Health,Health Outcome,,20864465,Literature,PubMed,,
apparent temperature,Weather,diastolic blood pressure (DBP),Negative,Cardiovascular Health,Health Outcome,,20864465,Literature,PubMed,,
ambient temperature (excluding extreme temperatures),Weather,diastolic blood pressure (DBP),Negative,Cardiovascular Health,Health Outcome,,20864465,Literature,PubMed,,
apparent temperature (excluding extreme temperatures),Weather,diastolic blood pressure (DBP),Negative,Cardiovascular Health,Health Outcome,,20864465,Literature,PubMed,,
dew point temperature (DPT),Weather,diastolic blood pressure (DBP),Null,Cardiovascular Health,Health Outcome,,20864465,Literature,PubMed,,
apparent temperature,Weather,systolic blood pressure (SBP),Negative,Cardiovascular Health,Health Outcome,,20864465,Literature,PubMed,,
O3,Air Quality,mortality rate,Positive,Mortality,Health Outcome,,20717546,Literature,PubMed,,
O3,Air Quality,premature deaths,Positive,Mortality,Health Outcome,,20717546,Literature,PubMed,,
relative humidity,Weather,new headache onset,Positive,Neurological Health,Health Outcome,,20039960,Literature,PubMed,,
temperature,Weather,new headache onset,Null,Neurological Health,Health Outcome,,20039960,Literature,PubMed,,
dew point temperature,Weather,new headache onset,Null,Neurological Health,Health Outcome,,20039960,Literature,PubMed,,
sunlight,Weather,new headache onset,Null,Neurological Health,Health Outcome,,20039960,Literature,PubMed,,
PM2.5,Air Quality,Emergency hospital admissions for cardiovascular disease (unadjusted),Positive,Cardiovascular Health;Respiratory Health,Health Outcome,,18477784,Literature,PubMed,,
PM2.5,Air Quality,Emergency hospital admissions for respiratory disease (unadjusted),Positive,Cardiovascular Health;Respiratory Health,Health Outcome,,18477784,Literature,PubMed,,
PM2.5,Air Quality,heart failure hospital admission,Positive,Cardiovascular Health;Respiratory Health,Health Outcome,,16522832,Literature,PubMed,,
PM2.5,Air Quality,injuries hospital admission,Null,Cardiovascular Health;Respiratory Health,Health Outcome,,16522832,Literature,PubMed,,
O3,Other,hospitalization for acute myocardial infarction,Positive,Cardiovascular Health,Health Outcome,,12896852,Literature,PubMed,,
O3,Other,hospitalization for coronary atherosclerosis,Positive,Cardiovascular Health,Health Outcome,,12896852,Literature,PubMed,,
O3,Other,hospitalization for pulmonary heart disease,Positive,Cardiovascular Health,Health Outcome,,12896852,Literature,PubMed,,
CO,Other,hospitalization for congestive heart failure,Positive,Cardiovascular Health,Health Outcome,,12896852,Literature,PubMed,,
NO2,Other,hospitalization for cardiovascular diseases,Null,Cardiovascular Health,Health Outcome,,12896852,Literature,PubMed,,
maximum temperature,Other,hospitalization for acute myocardial infarction,Positive,Cardiovascular Health,Health Outcome,,12896852,Literature,PubMed,,
maximum temperature,Other,hospitalization for congestive heart failure,Positive,Cardiovascular Health,Health Outcome,,12896852,Literature,PubMed,,
maximum temperature,Other,hospitalization for coronary atherosclerosis,Negative,Cardiovascular Health,Health Outcome,,12896852,Literature,PubMed,,
maximum temperature,Other,hospitalization for pulmonary heart disease,Negative,Cardiovascular Health,Health Outcome,,12896852,Literature,PubMed,,
PM2.5,Air Quality,HF HRV,Negative,Cardiovascular Health,Health Outcome,,11409004,Literature,PubMed,,
PM2.5,Air Quality,HF HRV (excluding study days 4 and 5),Negative,Cardiovascular Health,Health Outcome,,11409004,Literature,PubMed,,
PM2.5,Air Quality,total mortality during summer quarters,Positive,Respiratory Health,Health Outcome,,8674485,Literature,PubMed,,
PM2.5,Air Quality,respiratory-specific mortality during summer quarters,Positive,Respiratory Health,Health Outcome,,8674485,Literature,PubMed,,
PM2.5,Air Quality,total mortality for the year taken as a whole,Null,Respiratory Health,Health Outcome,,8674485,Literature,PubMed,,
O3,Air Quality,mortality during summer quarters,Positive,Respiratory Health,Health Outcome,,8674485,Literature,PubMed,,
CO,Air Quality,ischemic heart disease admissions,Null,Cardiovascular Health,Health Outcome,,7785670,Literature,PubMed,,
O3,Air Quality,ischemic heart disease admissions,Null,Cardiovascular Health,Health Outcome,,7785670,Literature,PubMed,,
CO,Air Quality,heart failure admissions,Positive,Cardiovascular Health,Health Outcome,,7785670,Literature,PubMed,,
greenness,Built Environment,global composite score,Positive,Neurological Health,Health Outcome,,39016600,Literature,PubMed,,
greenness,Built Environment,verbal memory,Null,Neurological Health,Health Outcome,,39016600,Literature,PubMed,,
walkability,Built Environment,BMI,Negative,Physical Fitness,Health Outcome,,37831961,Literature,PubMed,,
walkability,Built Environment,PACER,Positive,Physical Fitness,Health Outcome,,37831961,Literature,PubMed,,
walkability,Built Environment,BMI (girls),Negative,Physical Fitness,Health Outcome,,37831961,Literature,PubMed,,
walkability,Built Environment,BMI (boys),Negative,Physical Fitness,Health Outcome,,37831961,Literature,PubMed,,
walkability,Built Environment,PACER (girls),Positive,Physical Fitness,Health Outcome,,37831961,Literature,PubMed,,
walkability,Built Environment,BMI,Negative,Cardiovascular Health;Physical Fitness,Health Outcome,,33596444,Literature,PubMed,,
walkability,Built Environment,diastolic blood pressure percentiles (DBP),Negative,Cardiovascular Health;Physical Fitness,Health Outcome,,33596444,Literature,PubMed,,
walkability,Built Environment,skinfold thickness,Negative,Cardiovascular Health;Physical Fitness,Health Outcome,,33596444,Literature,PubMed,,
walkability,Built Environment,sit-ups,Positive,Cardiovascular Health;Physical Fitness,Health Outcome,,33596444,Literature,PubMed,,
walkability,Built Environment,systolic blood pressure percentiles (SBP),Negative,Cardiovascular Health;Physical Fitness,Health Outcome,,33596444,Literature,PubMed,,
local greenness,Built Environment,test scores,Null,Academic Achievement,Health Outcome,,42090361,Literature,PubMed,,
heat waves,Weather,annual all-cause mortality,Positive,Mortality;Cardiovascular Health;Respiratory Health;Neurological Health,Health Outcome,,41825471,Literature,PubMed,,
heat waves,Weather,cardiovascular deaths,Positive,Mortality;Cardiovascular Health;Respiratory Health;Neurological Health,Health Outcome,,41825471,Literature,PubMed,,
heat waves,Weather,respiratory deaths,Positive,Mortality;Cardiovascular Health;Respiratory Health;Neurological Health,Health Outcome,,41825471,Literature,PubMed,,
heat waves,Weather,neurological deaths,Positive,Mortality;Cardiovascular Health;Respiratory Health;Neurological Health,Health Outcome,,41825471,Literature,PubMed,,
temperature,Other,distribution of temperature among disabled residents,Null,Environmental Justice;Disability Health,Health Outcome,,41818890,Literature,PubMed,,
Extreme heat and NO2,Other,Cardiorespiratory hospitalizations,Positive,Cardiorespiratory Health,Health Outcome,,41790999,Literature,PubMed,,
PM2.5,Other,birthweight,Negative,Birth Outcomes,Health Outcome,,41558211,Literature,PubMed,,
Residential greenness (270m Buffer),Built Environment,colorectal cancer (CRC)-specific mortality,Null,Oncology,Health Outcome,,41496239,Literature,PubMed,,
Residential greenness (1230m Buffer),Built Environment,colorectal cancer (CRC)-specific mortality,Null,Oncology,Health Outcome,,41496239,Literature,PubMed,,
residential greenness,Other,type 2 diabetes (T2D) incidence,Negative,Metabolic Health,Health Outcome,,41124816,Literature,PubMed,,
greenness,Other,COVID-19 vaccination willingness,Negative,COVID-19 experiences;Health-related outcomes,Health Outcome,,40869865,Literature,PubMed,,
heat wave,Other,COVID-19 vaccination willingness,Positive,COVID-19 experiences;Health-related outcomes,Health Outcome,,40869865,Literature,PubMed,,
PM2.5,Other,Burkitt lymphoma,Positive,Childhood Cancer;Oncology,Health Outcome,,40668547,Literature,PubMed,,
PM2.5,Other,lymphoreticular neoplasms,Positive,Childhood Cancer;Oncology,Health Outcome,,40668547,Literature,PubMed,,
PM2.5,Other,Hodgkin lymphoma,Positive,Childhood Cancer;Oncology,Health Outcome,,40668547,Literature,PubMed,,
PM2.5,Other,lymphoid leukemias,Positive,Childhood Cancer;Oncology,Health Outcome,,40668547,Literature,PubMed,,
PM2.5,Other,B-cell leukemia,Positive,Childhood Cancer;Oncology,Health Outcome,,40668547,Literature,PubMed,,
PM2.5,Other,intracranial and intraspinal embryonal neoplasms,Positive,Childhood Cancer;Oncology,Health Outcome,,40668547,Literature,PubMed,,
residential greenness,Other,malignant epithelial neoplasms and melanomas,Negative,Childhood Cancer;Oncology,Health Outcome,,40668547,Literature,PubMed,,
residential greenness,Other,renal tumors,Positive,Childhood Cancer;Oncology,Health Outcome,,40668547,Literature,PubMed,,
residential greenness,Other,neuroblastoma,Positive,Childhood Cancer;Oncology,Health Outcome,,40668547,Literature,PubMed,,
mean temperature during pregnancy,Built Environment,preterm birth (PTB) association with plant species richness,Positive,Reproductive Health,Health Outcome,,40578112,Literature,PubMed,,
walkability,Built Environment,Intervention group,Negative,Obesity;Weight Loss,Health Outcome,,40345106,Literature,PubMed,,
greenness,Built Environment,Intervention group,Null,Obesity;Weight Loss,Health Outcome,,40345106,Literature,PubMed,,
12-month average NO2,Other,generalized anxiety disorder (GAD) symptoms,Positive,Mental Health,Health Outcome,,40237568,Literature,PubMed,,
12-month average temperature,Other,generalized anxiety disorder (GAD) symptoms,Positive,Mental Health,Health Outcome,,40237568,Literature,PubMed,,
walkability,Other,generalized anxiety disorder (GAD) symptoms,Positive,Mental Health,Health Outcome,,40237568,Literature,PubMed,,
greenness,Built Environment,incidence of stroke in Eastern Temperate Forests region,Negative,Cardiovascular Health;Neurological Health,Health Outcome,,40207510,Literature,PubMed,,
greenness,Built Environment,incidence of stroke in Great Plains region,Positive,Cardiovascular Health;Neurological Health,Health Outcome,,40207510,Literature,PubMed,,
greenness,Built Environment,incidence of stroke in Mediterranean California region,Positive,Cardiovascular Health;Neurological Health,Health Outcome,,40207510,Literature,PubMed,,
wildfire smoke PM2.5,Air Quality,life expectancy,Negative,Life Expectancy,Health Outcome,,39842293,Literature,PubMed,,
interaction of greenspace with smoke PM2.5,Air Quality,life expectancy,Negative,Life Expectancy,Health Outcome,,39842293,Literature,PubMed,,
daily summer temperature,Weather,violent crime,Positive,Aggression and Violence,Health Outcome,,39742829,Literature,PubMed,,
daily summer temperature,Weather,violent crime,Positive,Aggression and Violence,Health Outcome,,39742829,Literature,PubMed,,
daily summer temperature,Weather,violent crime,Null,Aggression and Violence,Health Outcome,,39742829,Literature,PubMed,,
ambient temperature,Weather,Postpartum depression (PPD),Positive,Mental Health,Health Outcome,,39601565,Literature,PubMed,,
diurnal temperature range,Weather,Postpartum depression (PPD),Positive,Mental Health,Health Outcome,,39601565,Literature,PubMed,,
PM2.5,Air Quality,preterm birth,Null,Perinatal Health,Health Outcome,,38995210,Literature,PubMed,,
PM2.5,Air Quality,medically attended acute respiratory illness,Null,Respiratory Health,Health Outcome,,38958238,Literature,PubMed,,
PM2.5,Air Quality,emergency department (ED) visits,Null,Respiratory Health,Health Outcome,,38958238,Literature,PubMed,,
PM2.5,Air Quality,hospital readmissions,Null,Respiratory Health,Health Outcome,,38958238,Literature,PubMed,,
PM2.5,Air Quality,medically attended acute respiratory illness among infants with Grade 1 BPD,Positive,Respiratory Health,Health Outcome,,38958238,Literature,PubMed,,
PM2.5,Air Quality,medically attended acute respiratory illness among infants with Grade 3 BPD,Null,Respiratory Health,Health Outcome,,38958238,Literature,PubMed,,
PM2.5,Air Quality,MDA (first trimester),Positive,Maternal and Fetal Health,Health Outcome,Urine,38942277,Literature,PubMed,,
PM2.5,Air Quality,MDA (second trimester),Negative,Maternal and Fetal Health,Health Outcome,Urine,38942277,Literature,PubMed,,
PM2.5,Air Quality,MDA (third trimester),Null,Maternal and Fetal Health,Health Outcome,Urine,38942277,Literature,PubMed,,
PM2.5,Air Quality,8-OHdG (second trimester),Positive,Maternal and Fetal Health,Health Outcome,Urine,38942277,Literature,PubMed,,
NO2,Air Quality,MDA,Null,Maternal and Fetal Health,Health Outcome,Urine,38942277,Literature,PubMed,,
NO2,Air Quality,8-OHdG,Null,Maternal and Fetal Health,Health Outcome,Urine,38942277,Literature,PubMed,,
PM2.5,Air Quality,Loss of independence,Positive,Geriatric Health,Health Outcome,,38941096,Literature,PubMed,,
PM2.5 levels from road traffic,Air Quality,Loss of independence,Positive,Geriatric Health,Health Outcome,,38941096,Literature,PubMed,,
PM2.5 levels from nonroad traffic,Air Quality,Loss of independence,Positive,Geriatric Health,Health Outcome,,38941096,Literature,PubMed,,
NO2,Air Quality,Loss of independence,Positive,Geriatric Health,Health Outcome,,38941096,Literature,PubMed,,
PM2.5 levels from road traffic,Air Quality,Loss of independence,Positive,Geriatric Health,Health Outcome,,38941096,Literature,PubMed,,
O3,Air Quality,Loss of independence,Negative,Geriatric Health,Health Outcome,,38941096,Literature,PubMed,,
NO2,Air Quality,regional brain volumes,Negative,Neurological Health,Health Outcome,,38922331,Literature,PubMed,,
CO,Air Quality,regional brain volumes,Negative,Neurological Health,Health Outcome,,38922331,Literature,PubMed,,
O3,Air Quality,brain magnetic resonance imaging (MRI) markers,Null,Neurological Health,Health Outcome,,38922331,Literature,PubMed,,
"built environment, neighborhood poverty, and air quality",Other,disparities in asthma prevalence,Negative,Respiratory Health,Health Outcome,,38908569,Literature,PubMed,,
Extreme heat event,Weather,Death,Positive,Mortality,Health Outcome,,38876272,Literature,PubMed,,
PM2.5,Air Quality,executive function,Null,Neurodevelopment,Health Outcome,,38871635,Literature,PubMed,,
NO2,Air Quality,executive function,Null,Neurodevelopment,Health Outcome,,38871635,Literature,PubMed,,
O3,Air Quality,executive function,Null,Neurodevelopment,Health Outcome,,38871635,Literature,PubMed,,
NO2,Air Quality,working memory,Negative,Neurodevelopment,Health Outcome,,38871635,Literature,PubMed,,
NO2,Air Quality,Hodgkin lymphoma,Positive,Oncology;Hematologic Health,Health Outcome,,38802672,Literature,PubMed,,
NO2,Air Quality,marginal zone lymphoma,Positive,Oncology;Hematologic Health,Health Outcome,,38802672,Literature,PubMed,,
CO,Air Quality,marginal zone lymphoma,Positive,Oncology;Hematologic Health,Health Outcome,,38802672,Literature,PubMed,,
CO,Air Quality,T-cell lymphoma,Positive,Oncology;Hematologic Health,Health Outcome,,38802672,Literature,PubMed,,
PM2.5,Air Quality,birthweight,Negative,Birth Outcomes,Health Outcome,,38677086,Literature,PubMed,,
CO,Air Quality,birthweight,Negative,Birth Outcomes,Health Outcome,,38677086,Literature,PubMed,,
PM2.5,Air Quality,preeclampsia and eclampsia (PE-E),Positive,Maternal Health;Cardiovascular Health,Health Outcome,,38669277,Literature,PubMed,,
black carbon,Air Quality,preeclampsia and eclampsia (PE-E),Positive,Maternal Health;Cardiovascular Health,Health Outcome,,38669277,Literature,PubMed,,
PM2.5,Air Quality,gestational hypertension (GH),Null,Maternal Health;Cardiovascular Health,Health Outcome,,38669277,Literature,PubMed,,
PM2.5 mixture,Air Quality,preeclampsia and eclampsia (PE-E),Positive,Maternal Health;Cardiovascular Health,Health Outcome,,38669277,Literature,PubMed,,
"1,1,2,2-tetrachloroethane",Air Quality,invasive breast cancer,Positive,Oncology,Health Outcome,,38574449,Literature,PubMed,,
ethylene dichloride,Air Quality,invasive breast cancer,Positive,Oncology,Health Outcome,,38574449,Literature,PubMed,,
vinyl chloride,Air Quality,invasive breast cancer,Positive,Oncology,Health Outcome,,38574449,Literature,PubMed,,
benzene,Air Quality,breast cancer,Positive,Oncology,Health Outcome,,38574449,Literature,PubMed,,
ethylbenzene,Air Quality,breast cancer,Positive,Oncology,Health Outcome,,38574449,Literature,PubMed,,
toluene,Air Quality,breast cancer,Positive,Oncology,Health Outcome,,38574449,Literature,PubMed,,
naphthalene,Air Quality,breast cancer,Positive,Oncology,Health Outcome,,38574449,Literature,PubMed,,
acrolein,Air Quality,breast cancer,Positive,Oncology,Health Outcome,,38574449,Literature,PubMed,,
NO2,Air Quality,maternal cardiovascular biomarkers,Positive,Inflammatory Health;Cardiovascular Health;Metabolic Health;Cancer;Neurological Health,Health Outcome,Maternal blood;Cord blood,38555084,Literature,PubMed,,
NO2,Air Quality,maternal inflammation biomarkers,Positive,Inflammatory Health;Cardiovascular Health;Metabolic Health;Cancer;Neurological Health,Health Outcome,Maternal blood;Cord blood,38555084,Literature,PubMed,,
O3,Air Quality,maternal inflammation biomarkers,Negative,Inflammatory Health;Cardiovascular Health;Metabolic Health;Cancer;Neurological Health,Health Outcome,Maternal blood;Cord blood,38555084,Literature,PubMed,,
O3,Air Quality,maternal metabolic biomarkers,Negative,Inflammatory Health;Cardiovascular Health;Metabolic Health;Cancer;Neurological Health,Health Outcome,Maternal blood;Cord blood,38555084,Literature,PubMed,,
O3,Air Quality,maternal cardiovascular biomarkers,Negative,Inflammatory Health;Cardiovascular Health;Metabolic Health;Cancer;Neurological Health,Health Outcome,Maternal blood;Cord blood,38555084,Literature,PubMed,,
PM2.5,Air Quality,cord blood cardiovascular biomarkers,Positive,Inflammatory Health;Cardiovascular Health;Metabolic Health;Cancer;Neurological Health,Health Outcome,Maternal blood;Cord blood,38555084,Literature,PubMed,,
PM2.5,Air Quality,cord blood metabolic biomarkers,Negative,Inflammatory Health;Cardiovascular Health;Metabolic Health;Cancer;Neurological Health,Health Outcome,Maternal blood;Cord blood,38555084,Literature,PubMed,,
PM2.5,Air Quality,gestational hypertension (GH),Positive,Maternal Health;Cardiovascular Health,Health Outcome,,38533642,Literature,PubMed,,
PM2.5,Air Quality,preeclampsia,Null,Maternal Health;Cardiovascular Health,Health Outcome,,38533642,Literature,PubMed,,
NO2,Air Quality,preeclampsia,Null,Maternal Health;Cardiovascular Health,Health Outcome,,38533642,Literature,PubMed,,
O3,Air Quality,preeclampsia,Null,Maternal Health;Cardiovascular Health,Health Outcome,,38533642,Literature,PubMed,,
wildfire-sourced PM2.5,Air Quality,preterm birth,Positive,Pregnancy Outcomes,Health Outcome,,38518428,Literature,PubMed,,
black carbon,Air Quality,preterm birth,Positive,Pregnancy Outcomes,Health Outcome,,38518428,Literature,PubMed,,
wildfire-sourced PM2.5,Air Quality,term low birth weight,Positive,Pregnancy Outcomes,Health Outcome,,38518428,Literature,PubMed,,
PM2.5,Air Quality,Autism Spectrum Disorder (ASD) diagnosis,Positive,Neurological Health,Health Outcome,,38484609,Literature,PubMed,,
PM2.5,Air Quality,gastrointestinal bleeding,Positive,Cardiovascular Health;Hematologic Health,Health Outcome,,38460663,Literature,PubMed,,
PM2.5,Air Quality,intracranial bleeding,Positive,Cardiovascular Health;Hematologic Health,Health Outcome,,38460663,Literature,PubMed,,
PM2.5,Air Quality,epistaxis,Positive,Cardiovascular Health;Hematologic Health,Health Outcome,,38460663,Literature,PubMed,,
PM2.5,Air Quality,uterine fibroid (UF) diagnosis,Negative,Reproductive Health,Health Outcome,,38397711,Literature,PubMed,,
temperature,Air Quality,aged sea salt,Positive,Maternal Health,Health Outcome,,38326532,Literature,PubMed,,
ambient NO2,Air Quality,traffic,Positive,Maternal Health,Health Outcome,,38326532,Literature,PubMed,,
